Super_Word,Value
origin,set([u'origin'])
,set([''])
reseteraunts,set(['reseteraunts'])
afterwards,set(['afterwards'])
family,set(['family'])
wall,"set(['made', 'built', u'wall', 'engaged', 'expanded', 'displayed', 'placed', 'designed', 'incorporated', 'taken', 'introduced', 'occupied', 'sent', 'photographed'])"
image,set([u'image'])
liqour,set(['liqour'])
one,set(['one'])
weather,"set(['busy', u'tourist', u'attraction', 'surrounding', 'water', 'dining', 'weather', 'warmer', 'flowing', 'beaches', 'cool'])"
towncity,set(['towncity'])
festivals,"set(['dance', 'sporting', 'parks', 'clubs', 'music', 'theatres', 'festivals', 'restaurants'])"
appetizersetc,set(['appetizersetc'])
its,set(['its'])
dont,set(['dont'])
imporove,set(['imporove'])
from,set(['from'])
deal,"set(['deals', u'deal'])"
area,"set(['city', 'area'])"
addition,set(['addition'])
top,"set(['top', 'floor'])"
people,set(['people'])
due,"set(['due', 'thanks'])"
long,set(['long'])
next,"set(['past', 'future', 'next'])"
tablecloths,set(['tablecloths'])
type,set(['type'])
caloriesnutrition,set(['caloriesnutrition'])
direction,"set([u'function', u'direction', 'set', 'projection', u'point', 'process', u'system', 'turn', 'step', 'potential', 'plan', 'way', 'stationary', 'purpose'])"
modern,"set(['popular', 'modern', 'today'])"
captivating,set(['captivating'])
big,set(['big'])
showing,set(['showing'])
appetizer,set(['appetizer'])
part,set(['part'])
dresigns,set(['dresigns'])
seat,set(['seat'])
with,set(['with'])
resteraunt,set(['resteraunt'])
television,"set([u'picture', 'television', 'trivia', u'theater', 'guest', 'clip', 'show', 'tv', u'movie', 'entertainment', 'specials', u'newspaper', 'theme', u'video', u'advertisement', 'magazines', 'themed', 'ninja', 'animated', u'cartoon'])"
like,set(['like'])
liveupdating,set(['liveupdating'])
bill,"set([u'partner', 'bill'])"
list,"set(['website', 'map', 'information', 'list', u'page', 'news', u'article', 'guide', 'history'])"
us,set([u'us'])
idle,set([u'idle'])
doesnt,set(['doesnt'])
source,set(['source'])
contain,"set(['incorporate', 'create', 'calculate', 'believe', 'provide', 'suggest', 'interact', 'describe', 'utilize', 'appear', 'attach', 'explore', 'eliminate', 'contain', u'affect', 'include', 'think', 'know'])"
locally,set(['locally'])
example,"set(['ideal', 'example'])"
placemats,set(['placemats'])
waiterwaitress,set(['waiterwaitress'])
youre,set(['youre'])
ad,set(['ad'])
patron,set([u'patron'])
give,"set(['enjoy', 'seeing', u'help', 'give', 'choose', 'bring', 'go', 'advertise', 'check', 'sell', 'try', 'raise', 'prepare', 'pay', 'make', 'offer', 'visit', 'live', 'find', 'encourage', 'call', 'calm', 'announce', 'save', 'take', 'draw', 'repeat', 'get', 'stop', 'watch', 'loyalty', 'add', 'hear', 'wear', 'ask', 'come', 'eat', 'wait', u'customer', 'communicate', 'look', 'receive', 'remove', 'keep', 'leave', 'entertain', 'ensure', 'lay'])"
recommendation,"set(['request', u'recommendation'])"
suggestions,"set([u'possibility', 'concept', 'statement', 'suggestions', u'question', u'idea', 'answers', 'choice', 'satisfaction', u'thing', 'experience', 'suggestion', 'change', 'fact', 'view'])"
competition,"set(['play', 'played', 'competition', u'game', 'games', 'card'])"
sign,set(['sign'])
see,set(['see'])
entertained,"set(['included', 'selected', 'entertained'])"
in,set(['in'])
further,"set(['further', 'greatly'])"
aged,"set(['young', u'adult', u'child', 'aged', 'children', 'man'])"
technology,"set(['appliance', 'electronics', 'computer', 'technology'])"
refill,set([u'refill'])
special,"set(['specific', 'different', 'full', 'entire', 'certain', 'larger', 'local', 'large', 'increasing', 'many', 'mixed', 'changing', 'total', 'whole', u'special'])"
out,"set(['along', 'within', 'across', 'together', 'out'])"
even,"set(['right', 'often', 'hard', 'it', 'whatever', 'good', 'simply', 'something', 'directly', 'even', 'everything', 'too', 'lot', 'instead', 'empty', 'someone', 'quite', 'trouble', 'easily', 'faster', 'fully', 'clear', 'person', 'without', 'everyone'])"
scale,"set([u'plate', u'medium', 'color', 'light', 'wave', 'scale'])"
end,"set([u'week', u'announcement', 'end', 'hour', 'season', 'finished', 'tour', 'time', 'event'])"
websitemenu,set(['websitemenu'])
space,set(['space'])
rather,set(['rather'])
convenient,"set(['passive', 'used', 'necessary', 'possible', 'simple', 'convenient', 'readable', 'direct', 'preferred', 'functional', 'practical', 'proper', 'neutral', 'relevant', 'done', 'ordering', 'familiar', 'quick', 'timed', 'linked', 'expensive'])"
review,"set([u'newsletter', 'read', u'review', 'work', 'paper', 'books', 'reading', 'book'])"
best,set(['best'])
also,set(['also'])
fingertip,set([u'fingertip'])
sever,"set(['bingo', 'turtle', 'decor', 'temp', u'tablet', 'customize', 'mixup', u'outing', 'customizations', 'vineyard', 'grab', 'pokemon', 'sever'])"
new,set(['new'])
status,"set(['status', 'interests', u'activity'])"
arrives,set(['arrives'])
cocktail,"set(['decorative', 'pots', 'touch', u'recipe', 'tvs', 'chef', 'desserts', 'beautifully', 'dish', u'flavor', 'drinks', 'kitchen', 'bathroom', 'coloring', 'fabric', 'tip', 'carriage', u'beverage', 'crab', u'kid', 'rides', u'ingredient', 'surf', 'touchscreen', u'mat', 'cocktail', 'dessert', 'drink', 'affixed', 'cloth', 'touching', 'bartender', 'tablecloth', 'shirt', u'bar', 'room', 'restaurant', 'waiter', 'maybe', 'seafood', u'napkin', 'dinner', 'cookware', 'clean', 'night', 'fun', 'clothes', 'meal', 'waitress', u'wine'])"
wtth,set(['wtth'])
limitless,"set(['enjoyment', 'allergies', 'animate', 'limitless'])"
upon,set(['upon'])
free,set(['free'])
perhaps,set(['perhaps'])
display,"set([u'comment', 'ins', 'interface', u'table', u'calorie', 'server', 'tables', 'ads', 'menu', 'multimedia', 'content', 'menus', 'program', 'pad', 'board', u'exit', 'available', 'option', 'web', u'screen', 'alert', 'visual', 'device', 'using', 'monitor', 'info', 'customizable', 'signal', 'flip', 'display', u'item', 'plus', 'cam', 'recommendations', 'login', 'options', 'interactive'])"
making,"set(['finding', 'making'])"
based,set(['based'])
estimate,"set(['estimate', 'approximate'])"
coolerto,set(['coolerto'])
prize,set([u'prize'])
via,set(['via'])
of,set(['of'])
needing,"set(['inviting', 'needed', 'wish', 'needing', 'able', 'prepared', 'need', 'waiting', 'let', 'want', 'ready', 'might', 'asked', 'happy'])"
youtube,set(['youtube'])
sale,"set(['paying', 'purchases', 'customers', 'service', 'emergency', 'revenue', 'food', 'money', u'sale', 'preparation', 'efficiency', u'cost', 'advertising', u'waste', 'nutrition'])"
order,"set(['order', 'orders'])"
wihere,set(['wihere'])
etc,set(['etc'])
place,set(['place'])
social,set(['social'])
become,set(['become'])
maker,"set(['puzzles', 'art', 'inspired', 'drawing', 'makers', 'appreciation', 'invention', 'maker'])"
familypatrons,set(['familypatrons'])
left,set(['left'])
