Super_Word,Value
,set([''])
incorporate,"set(['incorporate', 'incorporated'])"
selected,"set(['selected', 'choose'])"
shot,set(['shot'])
forget,set(['forget'])
show,set(['show'])
dance,set(['dance'])
recipe,set([u'recipe'])
bring,set(['bring'])
concept,set(['concept'])
dish,set(['dish'])
saved,set(['saved'])
find,set(['find'])
cartoon,set([u'cartoon'])
recharge,set(['recharge'])
whose,set(['whose'])
believe,set(['believe'])
based,set(['based'])
calculate,set(['calculate'])
menu,"set(['menu', 'menus'])"
description,set(['description'])
calorie,set([u'calorie'])
waiting,set(['waiting'])
send,set(['send'])
germain,set(['germain'])
going,set(['going'])
promoting,"set(['encourage', 'promoting'])"
pretty,set(['pretty'])
photo,set(['photo'])
announce,set(['announce'])
set,set(['set'])
include,"set(['included', 'include'])"
local,set(['local'])
resources,set(['resources'])
ingredient,set([u'ingredient'])
plate,set([u'plate'])
touchscreen,set(['touchscreen'])
get,set(['get'])
far,set(['far'])
dessert,"set(['dessert', 'desserts'])"
rock,"set(['rocks', u'rock'])"
watch,set(['watch'])
prohibition,set(['prohibition'])
appetizer,set(['appetizer'])
cook,set([u'cook'])
affect,set([u'affect'])
festuve,set(['festuve'])
cool,set(['cool'])
entire,set(['entire'])
school,set([u'school'])
increasing,set(['increasing'])
bar,set(['bar'])
prize,set([u'prize'])
activity,set([u'activity'])
introduced,set(['introduced'])
researpapers,set(['researpapers'])
button,set(['button'])
list,set(['list'])
applicable,set(['applicable'])
email,set(['email'])
try,set(['try'])
item,set([u'item'])
team,set(['team'])
quick,set(['quick'])
enhance,set(['enhance'])
grab,set(['grab'])
blur,set(['blur'])
clothes,set(['clothes'])
enjoy,set(['enjoy'])
bars,set(['bars'])
bill,set(['bill'])
art,set(['art'])
thwarting,set(['thwarting'])
tree,set([u'tree'])
liquor,set(['liquor'])
proprietor,set([u'proprietor'])
direct,set(['direct'])
arrives,set(['arrives'])
seat,set(['seat'])
chef,set(['chef'])
go,set(['go'])
see,set(['see'])
computer,set(['computer'])
video,set(['video'])
