Super_Word,Value
colorchanging,set(['colorchanging'])
youre,set(['youre'])
art,"set(['theater', 'school', 'art', 'mural'])"
emergency,"set(['web', 'management', u'resource', 'monitor', 'emergency', 'virtual', u'warning', 'chat', 'powerpoint'])"
doorbell,set(['doorbell'])
replace,"set(['feed', 'capture', u'neighbor', 'talking', 'make', 'hang', 'know', 'replace', 'collect', 'build', 'want', 'put', 'create', 'take'])"
zoomable,set(['zoomable'])
see,set(['see'])
computer,"set(['fashion', 'portable', u'color', 'frame', 'scoreboard', 'product', u'player', 'set', 'video', 'table', u'message', u'sport', 'monitors', 'space', 'system', 'reality', 'program', 'way', u'presentation', 'play', u'screen', 'game', 'desk', 'redesign', u'project', 'slide', 'computer', 'team', 'design', u'piece', 'display'])"
eaisily,set(['eaisily'])
claimed,"set(['claimed', 'displayed'])"
gold,"set(['draped', 'rush', 'tablecloth', 'giant', 'gold'])"
theyre,set(['theyre'])
redo,set(['redo'])
cold,"set(['cold', 'hot', 'camping'])"
change,"set(['reflect', 'seem', 'appear', 'change'])"
note,"set([u'note', u'map', u'image', 'covering'])"
smartphones,set(['smartphones'])
whie,set(['whie'])
like,set(['like'])
customizable,"set(['televisions', 'picture', 'television', 'photo', 'show', 'customizable', u'poster', 'maps', 'wallpaper', 'watch', 'charts', 'tv', 'filming', 'diy', u'movie', u'billboard', 'news', 'decorating', 'artwork'])"
there,set(['there'])
youtube,set(['youtube'])
finished,"set(['finished', u'meeting'])"
updatable,set(['updatable'])
unsual,set(['unsual'])
presenentations,set(['presenentations'])
interior,"set(['entire', 'ceiling', 'adjustable', 'room', 'outside', 'wall', 'inside', 'floor', 'park', 'doorway', u'surface', 'flag', 'projecting', 'interior', u'ring', 'onto', 'side', 'tent'])"
clothes,"set(['easily', 'unusual', 'everyone', u'ability', 'person', 'food', 'normally', 'fabric', 'cloak', 'actually', 'large', 'cloth', 'caution', 'invisibility', u'dish', 'impossible', 'difficult', 'clothing', 'correct', 'clothes'])"
