Super_Word,Value
essay,set([u'essay'])
incorporate,"set(['incorporate', 'incorporated'])"
selected,"set(['selected', 'choose'])"
shot,set(['shot'])
forget,set(['forget'])
,set([''])
show,set(['show'])
dance,set(['dance'])
become,set(['become'])
recipe,set([u'recipe'])
bring,set(['bring'])
concept,set(['concept'])
dish,set(['dish'])
saved,set(['saved'])
find,set(['find'])
liqour,set(['liqour'])
recharge,set(['recharge'])
whose,set(['whose'])
busy,"set(['busy', 'occupied'])"
based,set(['based'])
calculate,set(['calculate'])
menu,"set(['menu', 'menus'])"
calorie,set([u'calorie'])
simple,set(['simple'])
outside,set(['outside'])
send,set(['send'])
germain,set(['germain'])
going,set(['going'])
promoting,"set(['encourage', 'promoting'])"
pretty,set(['pretty'])
photo,set(['photo'])
announce,set(['announce'])
set,set(['set'])
include,"set(['included', 'include'])"
local,set(['local'])
resources,set(['resources'])
ingredient,set([u'ingredient'])
plate,set([u'plate'])
touchscreen,set(['touchscreen'])
get,set(['get'])
beat,set(['beat'])
cheap,set(['cheap'])
flowing,set(['flowing'])
watch,set(['watch'])
prohibition,set(['prohibition'])
appetizer,set(['appetizer'])
cook,set([u'cook'])
affect,set([u'affect'])
festuve,set(['festuve'])
cool,set(['cool'])
entire,set(['entire'])
school,set([u'school'])
increasing,set(['increasing'])
bar,set(['bar'])
prize,set([u'prize'])
introduced,set(['introduced'])
button,set(['button'])
list,set(['list'])
applicable,set(['applicable'])
across,set(['across'])
large,set(['large'])
item,set([u'item'])
recommendation,"set(['recommendations', u'recommendation'])"
team,set(['team'])
quick,set(['quick'])
enhance,set(['enhance'])
grab,set(['grab'])
clothes,set(['clothes'])
enjoy,set(['enjoy'])
bars,set(['bars'])
smaller,set(['smaller'])
art,set(['art'])
thwarting,set(['thwarting'])
appliance,set(['appliance'])
liquor,set(['liquor'])
proprietor,set([u'proprietor'])
direct,set(['direct'])
arrives,set(['arrives'])
seat,set(['seat'])
chef,set(['chef'])
go,set(['go'])
see,set(['see'])
computer,set(['computer'])
video,set(['video'])
bed,set(['bed'])
neutral,set(['neutral'])
close,set(['close'])
sport,set([u'sport'])
flavor,set(['flavor'])
best,set(['best'])
even,set(['even'])
websitemenu,set(['websitemenu'])
clock,set(['clock'])
movie,set([u'movie'])
review,set([u'review'])
multimedia,set(['multimedia'])
area,set(['area'])
idle,set([u'idle'])
current,set(['current'])
waiting,set(['waiting'])
version,set(['version'])
blur,set(['blur'])
new,set(['new'])
juggle,set(['juggle'])
reading,set(['reading'])
email,set(['email'])
3d,set(['3d'])
available,set(['available'])
program,"set(['program', u'plan'])"
full,set(['full'])
invention,set(['invention'])
ability,set(['ability'])
announcement,set([u'announcement'])
business,set(['business'])
screen,set(['screen'])
never,set(['never'])
answers,set(['answers'])
drawing,set(['drawing'])
water,set(['water'])
seafood,set(['seafood'])
explore,set(['explore'])
coloring,set(['coloring'])
let,set(['let'])
wear,set(['wear'])
key,set(['key'])
making,set(['making'])
represented,set(['represented'])
article,set([u'article'])
along,set(['along'])
quite,set(['quite'])
