Super_Word,Value
,set([''])
incorporate,"set(['incorporate', 'incorporated'])"
concept,set(['concept'])
show,set(['show'])
dance,set(['dance'])
recipe,set([u'recipe'])
bring,set(['bring'])
go,set(['go'])
appetizersetc,set(['appetizersetc'])
find,set(['find'])
request,set(['request'])
coloring,set(['coloring'])
based,set(['based'])
calculate,set(['calculate'])
everything,set(['everything'])
menu,"set(['menu', 'menus'])"
themed,set(['themed'])
young,set(['young'])
theme,set(['theme'])
program,"set(['program', 'plan'])"
money,set(['money'])
announce,set(['announce'])
include,"set(['included', 'include'])"
local,set(['local'])
sent,set(['sent'])
eliminate,set(['eliminate'])
plate,set([u'plate'])
touchscreen,set(['touchscreen'])
get,set(['get'])
dessert,"set(['dessert', 'desserts'])"
watch,set(['watch'])
preferred,set(['preferred'])
appetizer,set(['appetizer'])
puzzles,set(['puzzles'])
affect,set([u'affect'])
trouble,set(['trouble'])
room,set(['room'])
entire,set(['entire'])
reading,set(['reading'])
bar,set([u'bar'])
prize,set([u'prize'])
signal,set(['signal'])
customizable,set(['customizable'])
list,set(['list'])
remove,set(['remove'])
leave,set(['leave'])
item,set([u'item'])
contain,set(['contain'])
quick,set(['quick'])
grab,set(['grab'])
view,set(['view'])
enjoy,set(['enjoy'])
newspaper,set([u'newspaper'])
set,set(['set'])
art,set(['art'])
direct,set(['direct'])
seat,set(['seat'])
chef,set(['chef'])
dish,set(['dish'])
see,set(['see'])
computer,set(['computer'])
video,set([u'video'])
placemats,set(['placemats'])
further,set(['further'])
best,set(['best'])
page,set([u'page'])
even,set(['even'])
websitemenu,set(['websitemenu'])
purpose,set(['purpose'])
movie,set([u'movie'])
review,set([u'review'])
selected,"set(['selected', 'choose'])"
idle,set([u'idle'])
paying,set(['paying'])
waiting,set(['waiting'])
flowing,set(['flowing'])
new,set(['new'])
towncity,set(['towncity'])
increasing,set(['increasing'])
across,set(['across'])
available,set(['available'])
full,set(['full'])
invention,set(['invention'])
web,set(['web'])
screen,set([u'screen'])
answers,set(['answers'])
water,set(['water'])
