ideaID,content,authorID,timeStamp,,,,
MQya88ig2K4xNSpq4,"Leonardo da Vinci tools Inventors workshop, Drawing and Painting, writing",A3N2XX8SGRWA1,1.44E+12,Far-Near,"[Leonardo da Vinci] [tools] Inventors workshop, Drawing and Painting, writing",6.666666667,1.331169111
hkyDCokJQrLY6FbDW,"Dungeons and Dragons Witt Role play, level up,  fight, reroll upon death",A3N2XX8SGRWA1,1.44E+12,Far-Near,"[Dungeons and Dragons] [Witt] Role play, level up,  fight, reroll upon death",2,-1.075550465
r3GWKcytyyrpTddHy,"Athlete Sweatband Various games like football, scoccer, kickball",A3N2XX8SGRWA1,1.44E+12,Far-Near,"[Athlete] [Sweatband] Various games like football, scoccer, kickball",5.333333333,0.80321062
uEJdnnAb5RxmWYLxW,"Construction Hard hats and equipment Jack Hammering competition, picking up heavy loads, getting dirty",A3N2XX8SGRWA1,1.44E+12,Far-Near,"[Construction] [Hard hats and equipment] Jack Hammering competition, picking up heavy loads, getting dirty",4.666666667,1.155956487
2t7D7LLgvAHtmhWnG,Country club more clothing Sperry's and pastel shorts everywhere,A1KDMPYXFE8ZAZ,1.44E+12,Far-Near,[Country club] [more clothing] Sperry's and pastel shorts everywhere,3,0.222831575
5AqT8JnNFm3B9ufDE,naked hat everyone comes naked and wears only the hat of their choice,A610SH5RY1NG1,1.44E+12,Far-Far,[naked] [hat] everyone comes naked and wears only the hat of their choice,5,0.547935486
6urQ23nrsFz2uzq48,"Swords sword Bring a weapon ,  participate in an arch of swords, sword dancing , juggling , or mock combat ring. ",A2Q0KK9YL1O7B6,1.44E+12,Near-Near,"[Swords] [sword] Bring a weapon ,  participate in an arch of swords, sword dancing , juggling , or mock combat ring. ",3.5,-0.242914555
7QwRYX7zp7un44NCN,capture disposable cameras everyone gets a camera to take pictures of the day,AW5FP8MFB3F7X,1.44E+12,Near-Near,[capture] [disposable cameras] everyone gets a camera to take pictures of the day,2,-0.96761826
7d4QMC9vNqYo6H4tJ,star trek pointed ears red gold and blue uniforms and cool music,A2RMJNF6IPI42F,1.44E+12,pInspControl,[star trek] [pointed ears] red gold and blue uniforms and cool music,6,0.952740552
9B5njtoguSaP5o9zf,"Gilmore Girls coffee mug Drinks will be served in the mug, talking fast encouraged.",A2BWTQWFM1J2IN,1.44E+12,Near-Far,"[Gilmore Girls] [coffee mug] Drinks will be served in the mug, talking fast encouraged.",4.333333333,0.068529745
9JMAjJyKGEAg6FXsv,medieval knight armor The groom would dress us up the knight for the bride,A35NZAXRVLAC0G,1.44E+12,Far-Near,[medieval] [knight armor] The groom would dress us up the knight for the bride,4.333333333,0.090546372
9fP5q4cB2Ruqnqeme,heroes weapons Everyone will get a toy weapon based on super heroes,A3DCWHFPPB2XDJ,1.44E+12,Near-Far,[heroes] [weapons] Everyone will get a toy weapon based on super heroes,4,0.004015896
AY8HXRxbd3NzBgs9Q,Star Wars Princess Leia wedding dress The bride will wear a dress similar to what Princess Leia wears. ,A2AK649KPZ2IZN,1.44E+12,Near-Far,[Star Wars] [Princess Leia wedding dress] The bride will wear a dress similar to what Princess Leia wears. ,3,-0.646537189
BnY5WbhtL3QF6bcDy,Football Helmets Have different team helmets on the table as decorations,A3LN9BVLOWLYER,1.44E+12,Far-Far,[Football] [Helmets] Have different team helmets on the table as decorations,4,-0.047566235
C5P3WbaMAzBrPoNad,Summer Beach Balls Use beach balls on the floor to get attendees playing games with one another,A3LN9BVLOWLYER,1.44E+12,Far-Far,[Summer] [Beach Balls] Use beach balls on the floor to get attendees playing games with one another,3.4,-0.359983782
Co6n9qct3D5aSFTnZ,Country cowboy boots to keep that down home feel ,A1D01TUSE0H5TW,1.44E+12,pInspControl,[Country] [cowboy boots] to keep that down home feel ,2.5,-0.712767571
