Super_Word,Value
,set([''])
liqour,set(['liqour'])
reseteraunts,set(['reseteraunts'])
family,"set(['status', 'set', 'family', 'revenue', 'seat', u'recommendation', 'orders', 'staff', 'city', 'group', 'board', u'meeting', 'interests', 'complaint', 'business', 'flag', u'plan', 'class', u'school', 'name', 'island', 'request', 'placed', 'team', 'order'])"
wall,"set(['right', 'shot', 'afterwards', u'wall', 'house', 'back', 'in', 'home', 'out', 'again', 'cut', 'from', 'top', 'tip', 'next', 'outside', 'flowing', 'strike', 'new', 'before', 'across', 'direction', 'arrives', 'around', 'power', 'upon', 'step', 'part', 'curtain', 'end', 'along', 'entire', 'room', 'up', 'bed', 'face', 'turn', u'place', 'time', 'passing', 'head', 'away', 'left'])"
animates,set(['animates'])
waiterwaitress,set(['waiterwaitress'])
doesnt,set(['doesnt'])
itsel,set(['itsel'])
placemats,set(['placemats'])
want,"set(['incorporate', u'help', 'bring', 'questions', 'go', 'find', 'forget', 'calculate', 'fit', 'fix', 'send', 'add', 'choose', 'pretty', 'announce', 'save', 'customers', 'get', 'read', 'familiar', 'stop', 'choice', 'break', 'know', u'affect', 'realize', 'cool', 'like', 'inviting', 'leave', 'contain', 'become', 'grab', 'enjoy', 'everyone', u'deal', 'people', 'interact', 'sign', 'touch', 'repeat', 'advertise', 'really', 'try', 'appear', 'encourage', 'eliminate', 'blur', 'juggle', 'inevitably', 'communicate', 'answers', 'explore', 'wear', 'enhance', 'ask', 'estimate', 'come', 'throw', 'wait', 'receive', 'experience', 'keep', u'thing', 'ensure', 'stand', 'suggestion', 'pick', 'asked', u'comment', 'seeing', 'feel', 'visit', 'whatever', 'replace', 'satisfaction', 'wash', 'raise', 'prepare', 'create', u'question', 'attach', 'call', 'too', 'calm', 'offer', 'aware', 'hear', 'believe', 'eat', 'look', 'wish', 'pretend', 'entertained', 'remain', 'decorate', 'happy', 'give', 'toss', 'describe', 'suggestions', 'heard', 'something', 'want', u'partner', 'check', 'sell', 'perhaps', 'pay', 'make', 'able', 'utilize', 'write', 'take', 'you', 'draw', 'used', 'customize', 'drink', 'hang', 'loyalty', 'prepared', 'wrong', 'lay', 'remember', 'maybe', 'think', 'person', 'solve', 'allow'])"
researpapers,set(['researpapers'])
aged,"set(['someone', 'love', 'clothes', 'allergies', 'lesson', 'antisocial', u'teacher', 'touching', u'adult', u'student', u'child', 'animate', 'aged', 'children', u'friend', 'man'])"
appetizersetc,set(['appetizersetc'])
well,"set(['also', 'well', 'today', 'best'])"
ifwhen,set(['ifwhen'])
behindthescenes,set(['behindthescenes'])
based,"set(['whose', 'based'])"
websitemenu,set(['websitemenu'])
rather,"set(['expanded', 'learning', 'extra', 'simple', 'certain', 'intractable', 'within', 'direct', 'past', 'relevant', 'simply', 'directly', 'proper', 'further', 'practical', 'situation', 'even', 'better', 'different', 'smaller', 'rather', 'convenient', 'support', 'there', 'allegiances', 'contact', 'current', 'potential', 'present', 'normal', 'instead', 'increasing', 'local', 'them', 'corresponding', 'ability', 'that', 'far', 'constantly', 'practice', 'problems', 'possible', 'preferred', 'quite', 'timed', 'neutral', 'free', 'key', 'larger', 'changing', u'change', 'necessary', 'faster', 'cooler', 'clear', 'changed', 'applicable', 'without', 'specific', 'future', 'either', 'social', 'mixed', 'warmer', 'others'])"
movie,"set(['show', 'dance', 'photo', 'sporting', 'bunch', u'announcement', 'ads', 'tv', 'themed', 'theme', 'smart', u'crash', u'tourist', 'beat', 'big', 'watch', u'band', u'game', 'ninja', 'auto', u'clown', 'specials', 'night', 'popular', 'turtle', 'profile', 'bars', 'art', 'gaming', 'tvs', 'chef', 'clubs', u'video', 'year', u'sport', 'makers', u'special', 'entertainment', u'movie', 'multimedia', u'screen', u'rock', 'host', 'news', 'card', 'kitchen', 'restaurant', 'waiter', 'dinner', 'games', 'advertising', 'maker', 'weather', 'festivals', 'bingo', 'guest', 'live', 'music', 'beaches', 'crab', u'preview', 'chatting', 'season', 'competition', 'television', 'bartender', 'hour', 'bill', 'record', u'idle', 'draftsman', 'fun', 'animated', 'interactive', 'clip', 'played', 'ins', u'shirt', 'tour', 'parks', 'event', 'dining', u'poster', 'trivia', 'rides', 'events', 'pizza', u'week', 'picture', 'play', 'football', u'cartoon', u'kid', u'theater', u'outing', 'tech', 'theatres', 'audio'])"
due,"set(['addition', 'highlight', 'due', 'sever', 'thanks'])"
panflets,set(['panflets'])
mroe,set(['mroe'])
germain,"set(['one', 'decor', 'sandwich', 'ad', u'patron', 'mixup', 'napkin', 'misc', u'proprietor', 'holidays', 'vineyard', 'germain', 'im', 'temp', 'beautifully', u'cook', 'tablecloth', 'st', 'pokemon', 'two'])"
caloriesnutrition,set(['caloriesnutrition'])
introvert,set(['introvert'])
might,"set(['sure', 'seems', 'needing', 'allows', 'need', 'waiting', 'going', 'let', 'ready', 'might'])"
caloriesfood,set(['caloriesfood'])
3d,set(['3d'])
captivating,set(['captivating'])
signup,set(['signup'])
prohibition,"set(['of', u'us', 'prohibition', 'statement', 'recommendations', 'world', 'cold', u'country'])"
appetizer,set(['appetizer'])
dresigns,set(['dresigns'])
towncity,set(['towncity'])
elderflower,set(['elderflower'])
festuve,set(['festuve'])
with,set(['with'])
coolerto,set(['coolerto'])
resteraunt,set(['resteraunt'])
customer,"set(['concept', u'recipe', 'desserts', 'paper', 'dish', 'flavor', 'recharge', 'tables', 'cheap', 'coloring', 'pens', 'monitor', u'tablet', 'menu', 'passive', u'attraction', u'window', 'program', u'ingredient', u'plate', 'touchscreen', u'format', 'food', 'dessert', 'wave', u'desk', 'using', 'easily', 'bar', 'fully', 'button', 'server', u'item', u'activity', 'stationary', u'meal', 'view', 'version', u'tree', 'liquor', 'idea', 'phone', 'computer', 'rocks', 'message', 'drinks', 'scale', 'space', 'content', 'pen', 'tracker', 'electronics', 'email', 'available', 'core', u'possibility', 'water', 'mime', 'interface', 'heat', 'log', 'display', 'login', 'options', 'projection', u'point', 'color', 'pots', u'image', 'functional', 'approximate', 'done', 'platform', u'table', u'calorie', 'expensive', 'bathroom', 'eye', 'fabric', 'area', 'ordering', 'locally', 'readable', 'system', 'paint', 'beer', 'way', 'type', 'empty', 'function', u'medium', 'option', 'affixed', 'mine', 'cloth', 'visual', 'cookware', 'copy', 'spin', u'customer', 'target', 'characteristic', 'mat', 'work', 'appliance', 'flip', 'air', 'preparation', 'carriage', 'invention', 'neat', 'store', 'cam', 'example', 'decorative', 'purchases', 'sp', 'process', 'it', 'surface', 'alarm', u'tag', 'file', 'technology', 'clothing', u'feature', 'menus', 'ideal', 'pad', 'reminder', 'product', 'description', 'cocktail', 'limitless', 'device', 'appreciation', 'light', 'seafood', 'clock', u'sale', 'depth', u'beverage', 'clean', u'model', 'drawing', 'fact', 'wine'])"
great,"set(['real', 'busy', 'great', 'short', 'hard', 'limited', 'personal', 'never', 'little', 'private', 'large', 'small', 'good', 'full', 'lot', 'close', 'quick', 'poor', 'total', 'whole'])"
prize,set([u'prize'])
wouldnt,set(['wouldnt'])
youtube,set(['youtube'])
wihere,set(['wihere'])
fingertip,set([u'fingertip'])
wtth,set(['wtth'])
gave,"set(['made', 'ordered', 'built', 'photographed', 'saved', 'designed', 'thwarting', 'put', 'deserted', 'represented', 'finished', 'preparing', 'incorporated', 'included', 'making', 'introduced', 'occupied', 'called', 'sent', 'gave'])"
familypatrons,set(['familypatrons'])
history,"set([u'origin', u'essay', 'modern', 'displayed', 'see', 'books', u'newsletter', 'linked', 'information', u'review', 'selected', u'note', 'poetic', 'book', 'promoting', u'print', 'include', 'resources', 'website', u'map', 'showing', 'catalog', u'article', 'info', 'account', 'reading', 'many', 'inspired', 'list', 'deals', 'etc', 'math', 'informational', 'guide', 'history'])"
